district,neighborhood,registered,voted,valid,akp,chp,sp
ADALAR,BURGAZADA MAH.,317,227,210,37,161,0
ADALAR,BURGAZADA MAH.,317,246,244,66,171,1
ADALAR,BURGAZADA MAH.,317,263,255,44,202,0
ADALAR,BURGAZADA MAH.,315,245,241,48,187,1
ADALAR,HEYBELIADA MAH.,341,259,256,78,172,1
ADALAR,HEYBELIADA MAH.,341,241,228,70,150,1
ADALAR,HEYBELIADA MAH.,340,292,283,129,148,2
ADALAR,HEYBELIADA MAH.,341,298,291,107,177,0
ADALAR,HEYBELIADA MAH.,341,278,271,101,162,0
ADALAR,HEYBELIADA MAH.,340,285,277,102,169,0
ADALAR,HEYBELIADA MAH.,341,278,263,112,141,1
ADALAR,HEYBELIADA MAH.,341,294,281,108,162,2
ADALAR,HEYBELIADA MAH.,341,303,293,121,163,2
ADALAR,KINALIADA MAH.,324,225,205,57,136,2
ADALAR,KINALIADA MAH.,325,259,253,76,164,1
ADALAR,KINALIADA MAH.,324,258,252,66,170,2
ADALAR,KINALIADA MAH.,325,259,254,97,144,0
ADALAR,KINALIADA MAH.,325,289,273,110,148,0
ADALAR,MADEN MAH.,283,226,221,60,154,1
ADALAR,MADEN MAH.,283,240,234,66,157,3
ADALAR,MADEN MAH.,283,235,225,74,140,2
ADALAR,MADEN MAH.,283,235,224,88,124,0
ADALAR,MADEN MAH.,330,282,265,95,151,3
ADALAR,MADEN MAH.,328,270,260,98,147,2
ADALAR,MADEN MAH.,329,249,243,105,126,0
ADALAR,MADEN MAH.,314,251,237,73,154,0
ADALAR,MADEN MAH.,314,271,262,99,153,0
ADALAR,MADEN MAH.,295,235,234,94,131,0
ADALAR,MADEN MAH.,292,242,231,85,138,0
ADALAR,MADEN MAH.,294,255,244,95,133,1
ADALAR,NIZAM MAH.,336,276,267,70,184,1
ADALAR,NIZAM MAH.,338,263,255,82,164,1
ADALAR,NIZAM MAH.,336,284,273,106,150,0
ADALAR,NIZAM MAH.,336,288,274,93,168,0
ADALAR,NIZAM MAH.,336,278,264,111,144,2
ADALAR,NIZAM MAH.,335,280,270,113,135,2
ADALAR,NIZAM MAH.,336,286,278,108,155,0
ADALAR,NIZAM MAH.,335,280,272,115,152,0
ADALAR,NIZAM MAH.,336,299,292,103,173,0
ARNAVUTKOY,ADNAN MENDERES MAH.,333,291,269,148,108,4
ARNAVUTKOY,ADNAN MENDERES MAH.,333,299,280,174,98,1
ARNAVUTKOY,ADNAN MENDERES MAH.,331,296,284,152,123,5
ARNAVUTKOY,ADNAN MENDERES MAH.,331,287,272,164,100,3
ARNAVUTKOY,ADNAN MENDERES MAH.,331,296,290,190,86,11
ARNAVUTKOY,ADNAN MENDERES MAH.,331,295,272,163,93,11
ARNAVUTKOY,ADNAN MENDERES MAH.,330,291,273,184,74,7
ARNAVUTKOY,ADNAN MENDERES MAH.,330,296,278,179,88,5
ARNAVUTKOY,ANADOLU MAH.,331,269,243,173,66,1
ARNAVUTKOY,ANADOLU MAH.,331,251,232,131,89,7
ARNAVUTKOY,ANADOLU MAH.,333,262,253,167,72,11
ARNAVUTKOY,ANADOLU MAH.,331,266,252,159,90,2
ARNAVUTKOY,ANADOLU MAH.,331,265,249,170,66,7
ARNAVUTKOY,ANADOLU MAH.,331,255,243,148,88,2
ARNAVUTKOY,ANADOLU MAH.,334,263,245,159,73,7
ARNAVUTKOY,ANADOLU MAH.,331,286,262,175,85,1
ARNAVUTKOY,ANADOLU MAH.,333,271,249,170,70,7
ARNAVUTKOY,ANADOLU MAH.,331,272,260,168,84,6
ARNAVUTKOY,ANADOLU MAH.,331,286,279,180,89,4
ARNAVUTKOY,ANADOLU MAH.,330,259,237,161,64,5
ARNAVUTKOY,ANADOLU MAH.,330,274,268,170,87,6
ARNAVUTKOY,ANADOLU MAH.,330,255,241,186,53,2
ARNAVUTKOY,ANADOLU MAH.,334,269,260,167,90,0
ARNAVUTKOY,ANADOLU MAH.,330,274,254,170,78,2
ARNAVUTKOY,ANADOLU MAH.,339,275,253,136,104,6
ARNAVUTKOY,ANADOLU MAH.,337,271,252,164,81,4
ARNAVUTKOY,ANADOLU MAH.,339,286,275,176,95,2
ARNAVUTKOY,ANADOLU MAH.,340,267,257,158,92,6
ARNAVUTKOY,ANADOLU MAH.,343,281,260,184,63,8
ARNAVUTKOY,ANADOLU MAH.,339,288,282,190,86,4
ARNAVUTKOY,ANADOLU MAH.,339,274,252,158,81,6
ARNAVUTKOY,ANADOLU MAH.,339,289,275,157,102,9
ARNAVUTKOY,ANADOLU MAH.,340,269,248,153,91,3
ARNAVUTKOY,ANADOLU MAH.,343,287,263,169,89,4
ARNAVUTKOY,ANADOLU MAH.,339,275,253,160,87,5
ARNAVUTKOY,ANADOLU MAH.,339,263,240,147,86,4
ARNAVUTKOY,ANADOLU MAH.,337,270,260,169,78,5
ARNAVUTKOY,ANADOLU MAH.,338,275,264,144,106,7
ARNAVUTKOY,ANADOLU MAH.,339,272,261,150,98,7
ARNAVUTKOY,ANADOLU MAH.,339,284,264,195,57,7
ARNAVUTKOY,ANADOLU MAH.,340,280,264,176,78,7
ARNAVUTKOY,ANADOLU MAH.,338,278,266,183,71,8
ARNAVUTKOY,ANADOLU MAH.,339,283,270,141,120,5
ARNAVUTKOY,ANADOLU MAH.,339,286,274,162,101,6
ARNAVUTKOY,ANADOLU MAH.,338,280,263,158,97,6
ARNAVUTKOY,ANADOLU MAH.,337,281,270,160,102,0
ARNAVUTKOY,ANADOLU MAH.,340,271,247,156,83,2
ARNAVUTKOY,ANADOLU MAH.,342,265,249,156,82,5
ARNAVUTKOY,ANADOLU MAH.,340,261,240,155,75,3
