district,neighborhood,registered,voted,valid,akp,chp,sp
ARNAVUTKOY,ANADOLU MAH.,339,281,265,174,79,6
ARNAVUTKOY,ANADOLU MAH.,341,287,273,182,81,5
ARNAVUTKOY,ANADOLU MAH.,340,279,263,155,100,4
ARNAVUTKOY,ANADOLU MAH.,350,276,244,180,63,1
ARNAVUTKOY,ANADOLU MAH.,341,270,253,175,76,1
ARNAVUTKOY,ANADOLU MAH.,340,283,275,181,83,5
ARNAVUTKOY,ANADOLU MAH.,340,273,261,176,74,3
ARNAVUTKOY,ANADOLU MAH.,340,271,257,186,59,8
ARNAVUTKOY,ANADOLU MAH.,340,277,265,174,89,2
ARNAVUTKOY,ANADOLU MAH.,340,270,257,184,66,3
ARNAVUTKOY,ANADOLU MAH.,341,274,266,158,95,7
ARNAVUTKOY,ANADOLU MAH.,340,269,253,158,88,2
ARNAVUTKOY,ANADOLU MAH.,339,283,277,173,99,2
ARNAVUTKOY,ANADOLU MAH.,341,263,256,150,93,7
ARNAVUTKOY,ANADOLU MAH.,339,279,271,182,82,6
ARNAVUTKOY,ANADOLU MAH.,339,280,266,176,81,4
ARNAVUTKOY,ANADOLU MAH.,339,277,258,176,75,4
ARNAVUTKOY,ANADOLU MAH.,339,282,258,155,93,5
ARNAVUTKOY,ANADOLU MAH.,339,259,241,168,63,5
ARNAVUTKOY,ANADOLU MAH.,340,280,262,168,81,8
ARNAVUTKOY,ANADOLU MAH.,339,268,253,168,72,10
ARNAVUTKOY,ANADOLU MAH.,341,274,262,150,100,8
ARNAVUTKOY,ANADOLU MAH.,339,253,237,164,67,1
ARNAVUTKOY,ANADOLU MAH.,340,266,251,157,93,0
ARNAVUTKOY,ANADOLU MAH.,339,282,275,186,83,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,258,250,144,102,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,269,263,186,70,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,294,282,196,75,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,335,283,264,169,88,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,266,256,153,96,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,271,260,142,106,10
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,268,254,148,92,4
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,283,265,171,77,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,277,266,173,87,4
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,285,269,164,93,8
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,271,256,156,87,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,273,264,200,54,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,276,259,181,68,8
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,277,270,182,80,8
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,280,233,225,154,63,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,281,252,243,175,52,8
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,281,257,247,174,64,6
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,282,267,251,183,64,2
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,281,260,251,176,64,7
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,257,240,148,83,4
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,254,239,146,86,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,270,260,149,94,10
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,286,270,176,87,2
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,273,259,172,79,4
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,279,267,172,86,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,290,287,173,102,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,280,272,163,99,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,281,270,175,90,1
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,263,249,145,96,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,280,268,167,94,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,271,266,175,81,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,271,254,164,80,7
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,267,261,163,90,3
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,277,272,181,86,4
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,333,285,278,191,83,0
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,273,255,164,87,1
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,283,279,182,83,5
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,332,283,275,190,68,8
ARNAVUTKOY,ARNAVUTKOY MERKEZ MAH.,334,281,272,188,77,6
ARNAVUTKOY,BAKLALI MAH.,234,215,205,118,81,3
ARNAVUTKOY,BAKLALI MAH.,234,218,212,125,81,4
ARNAVUTKOY,BAKLALI MAH.,233,215,205,123,67,12
ARNAVUTKOY,BALABAN MAH.,208,185,183,51,130,0
ARNAVUTKOY,BALABAN MAH.,208,201,194,64,127,0
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,288,266,144,114,4
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,344,272,250,114,126,5
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,290,278,172,99,2
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,309,284,173,102,5
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,344,295,281,178,90,10
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,344,277,261,165,91,3
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,289,274,158,106,3
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,344,305,282,190,82,5
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,301,287,175,96,8
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,271,256,144,98,7
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,345,276,265,168,82,9
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,344,281,266,145,103,11
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,303,243,218,160,52,3
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,302,252,240,171,56,6
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,302,264,245,175,58,8
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,301,242,227,130,91,1
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,302,254,240,161,71,3
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,303,257,237,167,59,7
ARNAVUTKOY,BOGAZKOY ISTIKLAL MAH.,301,263,247,149,92,2
ARNAVUTKOY,BOLLUCA MAH.,342,288,263,178,76,5
ARNAVUTKOY,BOLLUCA MAH.,342,297,285,170,104,6
ARNAVUTKOY,BOLLUCA MAH.,344,306,291,188,96,2
ARNAVUTKOY,BOLLUCA MAH.,342,315,299,203,90,3
ARNAVUTKOY,BOLLUCA MAH.,342,305,287,199,71,10
ARNAVUTKOY,BOLLUCA MAH.,342,305,295,224,67,2
ARNAVUTKOY,BOLLUCA MAH.,343,303,286,195,78,9
ARNAVUTKOY,BOLLUCA MAH.,342,296,276,186,86,2
ARNAVUTKOY,BOLLUCA MAH.,342,288,277,189,79,2
ARNAVUTKOY,BOLLUCA MAH.,343,310,296,192,98,4
ARNAVUTKOY,BOLLUCA MAH.,342,314,302,187,111,3
ARNAVUTKOY,BOLLUCA MAH.,343,293,286,159,119,5
ARNAVUTKOY,BOLLUCA MAH.,342,299,287,174,104,5
ARNAVUTKOY,BOYALIK MAH.,272,239,230,126,96,4
ARNAVUTKOY,BOYALIK MAH.,273,242,224,127,94,2
ARNAVUTKOY,CILINGIR MAH.,271,236,224,135,82,2
ARNAVUTKOY,CILINGIR MAH.,272,235,223,138,78,2
ARNAVUTKOY,CILINGIR MAH.,270,249,242,157,74,4
ARNAVUTKOY,DELIKLIKAYA MAH.,337,282,260,109,147,0
ARNAVUTKOY,DELIKLIKAYA MAH.,337,295,286,104,176,1
ARNAVUTKOY,DELIKLIKAYA MAH.,337,287,276,117,156,1
ARNAVUTKOY,DELIKLIKAYA MAH.,337,291,270,105,158,3
ARNAVUTKOY,DELIKLIKAYA MAH.,337,288,267,87,173,1
ARNAVUTKOY,DELIKLIKAYA MAH.,317,235,221,158,56,5
ARNAVUTKOY,DELIKLIKAYA MAH.,317,257,243,106,133,1
ARNAVUTKOY,DELIKLIKAYA MAH.,317,257,248,113,131,2
ARNAVUTKOY,DELIKLIKAYA MAH.,316,236,224,108,106,3
ARNAVUTKOY,DELIKLIKAYA MAH.,318,247,237,109,118,5
ARNAVUTKOY,DELIKLIKAYA MAH.,317,244,233,132,94,3
ARNAVUTKOY,DURSUNKOY MAH.,182,157,149,86,58,2
ARNAVUTKOY,DURSUNKOY MAH.,181,166,163,101,58,1
ARNAVUTKOY,DURUSU MAH.,290,245,243,101,140,0
ARNAVUTKOY,DURUSU MAH.,291,270,258,110,145,1
ARNAVUTKOY,FATIH MAH.,340,296,281,180,93,5
ARNAVUTKOY,FATIH MAH.,339,279,270,185,76,7
ARNAVUTKOY,FATIH MAH.,339,303,299,193,98,5
ARNAVUTKOY,FATIH MAH.,341,291,278,200,68,5
ARNAVUTKOY,FATIH MAH.,340,293,278,195,68,7
ARNAVUTKOY,HACIMASLI MAH.,251,238,228,130,93,1
ARNAVUTKOY,HACIMASLI MAH.,250,242,221,133,80,0
ARNAVUTKOY,HADIMKOY MAH.,346,283,274,184,81,4
ARNAVUTKOY,HADIMKOY MAH.,350,282,259,167,88,3
ARNAVUTKOY,HADIMKOY MAH.,345,297,286,197,81,4
ARNAVUTKOY,HADIMKOY MAH.,350,301,281,196,78,3
ARNAVUTKOY,HADIMKOY MAH.,346,291,275,187,80,5
ARNAVUTKOY,HADIMKOY MAH.,347,303,293,169,117,4
ARNAVUTKOY,HADIMKOY MAH.,346,289,273,188,77,6
ARNAVUTKOY,HADIMKOY MAH.,346,301,274,167,97,6
ARNAVUTKOY,HADIMKOY MAH.,346,307,291,210,73,4
ARNAVUTKOY,HADIMKOY MAH.,347,308,296,200,88,6
ARNAVUTKOY,HADIMKOY MAH.,346,297,292,197,86,6
ARNAVUTKOY,HADIMKOY MAH.,345,296,282,180,95,4
ARNAVUTKOY,HADIMKOY MAH.,346,293,289,201,75,6
ARNAVUTKOY,HADIMKOY MAH.,345,300,283,203,72,5
ARNAVUTKOY,HADIMKOY MAH.,346,283,271,194,68,5
ARNAVUTKOY,HADIMKOY MAH.,346,306,301,198,97,2
ARNAVUTKOY,HADIMKOY MAH.,346,291,276,181,86,7
ARNAVUTKOY,HADIMKOY MAH.,345,360,277,199,72,4
ARNAVUTKOY,HADIMKOY MAH.,339,271,257,132,117,5
ARNAVUTKOY,HADIMKOY MAH.,339,257,245,121,122,0
ARNAVUTKOY,HADIMKOY MAH.,339,283,273,162,101,3
ARNAVUTKOY,HADIMKOY MAH.,339,291,276,192,77,1
ARNAVUTKOY,HADIMKOY MAH.,340,292,281,192,82,2
ARNAVUTKOY,HADIMKOY MAH.,338,296,281,176,102,3
ARNAVUTKOY,HADIMKOY MAH.,339,278,268,149,114,1
ARNAVUTKOY,HADIMKOY MAH.,339,282,267,163,97,2
ARNAVUTKOY,HADIMKOY MAH.,339,276,257,147,100,4
ARNAVUTKOY,HADIMKOY MAH.,340,288,278,169,104,4
ARNAVUTKOY,HADIMKOY MAH.,340,269,262,161,94,5
ARNAVUTKOY,HADIMKOY MAH.,338,290,277,174,96,3
ARNAVUTKOY,HADIMKOY MAH.,339,288,272,152,115,3
ARNAVUTKOY,HADIMKOY MAH.,339,268,255,139,107,4
ARNAVUTKOY,HADIMKOY MAH.,323,259,245,130,109,2
ARNAVUTKOY,HADIMKOY MAH.,324,259,249,153,89,5
ARNAVUTKOY,HADIMKOY MAH.,323,252,238,152,79,4
ARNAVUTKOY,HADIMKOY MAH.,324,260,256,146,99,5
ARNAVUTKOY,HADIMKOY MAH.,324,273,262,158,94,6
ARNAVUTKOY,HADIMKOY MAH.,323,264,260,178,77,2
ARNAVUTKOY,HADIMKOY MAH.,326,264,256,166,86,3
ARNAVUTKOY,HADIMKOY MAH.,323,280,263,149,106,2
ARNAVUTKOY,HADIMKOY MAH.,323,261,255,142,110,2
ARNAVUTKOY,HADIMKOY MAH.,324,267,261,151,98,6
ARNAVUTKOY,HADIMKOY MAH.,324,260,246,157,82,5
ARNAVUTKOY,HADIMKOY MAH.,324,274,262,154,99,6
ARNAVUTKOY,HARACCI MAH.,350,291,282,172,98,3
ARNAVUTKOY,HARACCI MAH.,346,311,302,192,104,4
ARNAVUTKOY,HARACCI MAH.,343,299,288,152,125,6
ARNAVUTKOY,HARACCI MAH.,343,297,284,164,111,5
ARNAVUTKOY,HARACCI MAH.,346,303,288,154,131,1
ARNAVUTKOY,HARACCI MAH.,346,293,284,146,133,3
ARNAVUTKOY,HARACCI MAH.,341,270,258,124,124,4
ARNAVUTKOY,HARACCI MAH.,341,282,266,137,119,3
ARNAVUTKOY,HARACCI MAH.,341,298,282,147,125,2
ARNAVUTKOY,HARACCI MAH.,340,286,268,135,125,5
ARNAVUTKOY,HARACCI MAH.,341,285,273,150,114,5
ARNAVUTKOY,HARACCI MAH.,341,300,282,144,132,2
ARNAVUTKOY,HARACCI MAH.,340,291,275,155,112,3
ARNAVUTKOY,HARACCI MAH.,341,292,275,145,118,6
ARNAVUTKOY,HARACCI MAH.,340,293,276,155,110,4
ARNAVUTKOY,HARACCI MAH.,340,290,274,156,105,5
ARNAVUTKOY,HASTANE MAH.,344,276,270,104,159,1
ARNAVUTKOY,HASTANE MAH.,343,283,272,130,138,0
ARNAVUTKOY,HASTANE MAH.,343,288,285,151,127,4
ARNAVUTKOY,HASTANE MAH.,345,292,287,147,132,6
ARNAVUTKOY,HASTANE MAH.,344,294,280,138,133,5
ARNAVUTKOY,HASTANE MAH.,343,274,260,120,134,2
ARNAVUTKOY,HASTANE MAH.,344,295,287,145,135,2
ARNAVUTKOY,HASTANE MAH.,342,272,266,136,128,0
ARNAVUTKOY,HASTANE MAH.,343,268,265,137,120,4
ARNAVUTKOY,HASTANE MAH.,345,295,285,157,126,1
ARNAVUTKOY,HASTANE MAH.,344,304,298,158,132,4
ARNAVUTKOY,HASTANE MAH.,343,298,291,133,150,3
ARNAVUTKOY,HASTANE MAH.,343,306,302,150,144,7
ARNAVUTKOY,HASTANE MAH.,343,308,291,131,151,3
ARNAVUTKOY,HASTANE MAH.,342,288,282,125,151,4
ARNAVUTKOY,HASTANE MAH.,343,293,281,156,122,1
ARNAVUTKOY,HASTANE MAH.,343,298,271,139,125,2
ARNAVUTKOY,HICRET MAH.,333,291,275,197,65,6
ARNAVUTKOY,HICRET MAH.,333,338,276,178,90,6
ARNAVUTKOY,HICRET MAH.,333,285,266,193,67,4
ARNAVUTKOY,HICRET MAH.,332,289,280,191,79,6
ARNAVUTKOY,HICRET MAH.,333,302,291,187,87,9
ARNAVUTKOY,HICRET MAH.,332,290,269,195,64,6
ARNAVUTKOY,IMRAHOR MAH.,339,272,258,128,117,2
ARNAVUTKOY,IMRAHOR MAH.,337,271,242,152,79,2
ARNAVUTKOY,IMRAHOR MAH.,337,286,268,149,104,5
ARNAVUTKOY,IMRAHOR MAH.,336,299,277,157,110,3
ARNAVUTKOY,IMRAHOR MAH.,338,274,257,150,100,3
ARNAVUTKOY,IMRAHOR MAH.,337,296,271,162,96,6
ARNAVUTKOY,IMRAHOR MAH.,338,300,280,169,100,1
ARNAVUTKOY,IMRAHOR MAH.,337,296,272,167,93,7
ARNAVUTKOY,IMRAHOR MAH.,336,293,273,188,74,4
ARNAVUTKOY,IMRAHOR MAH.,337,289,278,188,78,4
ARNAVUTKOY,IMRAHOR MAH.,336,267,252,154,93,4
ARNAVUTKOY,IMRAHOR MAH.,337,295,270,161,98,2
ARNAVUTKOY,IMRAHOR MAH.,336,290,282,155,111,11
ARNAVUTKOY,IMRAHOR MAH.,340,292,273,149,103,6
ARNAVUTKOY,IMRAHOR MAH.,336,302,283,140,134,1
ARNAVUTKOY,IMRAHOR MAH.,336,287,272,141,128,1
ARNAVUTKOY,IMRAHOR MAH.,337,287,268,149,109,1
ARNAVUTKOY,IMRAHOR MAH.,336,290,270,167,95,5
ARNAVUTKOY,IMRAHOR MAH.,337,277,253,146,91,10
ARNAVUTKOY,ISLAMBEY MAH.,324,278,241,171,49,10
ARNAVUTKOY,ISLAMBEY MAH.,323,277,256,155,99,0
ARNAVUTKOY,ISLAMBEY MAH.,323,284,276,182,82,6
ARNAVUTKOY,ISLAMBEY MAH.,329,288,272,141,120,5
ARNAVUTKOY,ISLAMBEY MAH.,323,290,281,187,83,6
ARNAVUTKOY,ISLAMBEY MAH.,324,278,252,158,84,5
ARNAVUTKOY,ISLAMBEY MAH.,322,275,254,131,116,0
ARNAVUTKOY,ISLAMBEY MAH.,324,275,255,143,99,5
ARNAVUTKOY,ISLAMBEY MAH.,323,287,277,138,135,3
ARNAVUTKOY,ISLAMBEY MAH.,324,289,268,165,88,6
ARNAVUTKOY,ISLAMBEY MAH.,324,277,255,148,100,1
ARNAVUTKOY,ISLAMBEY MAH.,350,295,275,181,81,6
ARNAVUTKOY,ISLAMBEY MAH.,350,274,254,167,77,5
ARNAVUTKOY,ISLAMBEY MAH.,350,291,271,163,89,4
ARNAVUTKOY,ISLAMBEY MAH.,350,304,278,197,68,1
ARNAVUTKOY,ISLAMBEY MAH.,350,292,277,191,79,0
ARNAVUTKOY,ISLAMBEY MAH.,350,293,275,208,60,1
ARNAVUTKOY,ISLAMBEY MAH.,350,289,274,185,81,4
ARNAVUTKOY,ISLAMBEY MAH.,350,299,293,203,87,1
ARNAVUTKOY,ISLAMBEY MAH.,350,303,288,179,101,5
ARNAVUTKOY,ISLAMBEY MAH.,349,297,287,196,75,10
ARNAVUTKOY,ISLAMBEY MAH.,350,291,271,191,75,2
ARNAVUTKOY,ISLAMBEY MAH.,350,293,278,205,69,2
ARNAVUTKOY,ISLAMBEY MAH.,350,296,279,173,93,5
ARNAVUTKOY,ISLAMBEY MAH.,350,300,290,194,88,4
ARNAVUTKOY,ISLAMBEY MAH.,350,293,286,199,78,4
ARNAVUTKOY,ISLAMBEY MAH.,350,298,296,208,81,4
ARNAVUTKOY,ISLAMBEY MAH.,350,294,282,187,80,8
ARNAVUTKOY,ISLAMBEY MAH.,346,285,271,184,73,9
ARNAVUTKOY,ISLAMBEY MAH.,350,288,279,183,86,7
ARNAVUTKOY,ISLAMBEY MAH.,350,297,284,199,75,4
ARNAVUTKOY,ISLAMBEY MAH.,350,278,264,184,73,4
ARNAVUTKOY,ISLAMBEY MAH.,350,291,272,201,63,4
ARNAVUTKOY,ISLAMBEY MAH.,350,279,272,195,69,6
ARNAVUTKOY,ISLAMBEY MAH.,350,289,276,195,72,5
ARNAVUTKOY,ISLAMBEY MAH.,350,296,285,201,70,6
ARNAVUTKOY,ISLAMBEY MAH.,350,298,288,204,80,1
ARNAVUTKOY,KARABURUN MAH.,332,278,262,150,109,1
ARNAVUTKOY,KARABURUN MAH.,331,294,284,171,108,4
ARNAVUTKOY,KARABURUN MAH.,332,309,293,189,98,3
ARNAVUTKOY,KARABURUN MAH.,332,289,271,158,108,1
ARNAVUTKOY,KARLIBAYIR MAH.,324,253,248,170,72,3
ARNAVUTKOY,KARLIBAYIR MAH.,322,263,256,175,72,4
ARNAVUTKOY,KARLIBAYIR MAH.,323,279,270,165,91,5
ARNAVUTKOY,KARLIBAYIR MAH.,324,275,264,180,72,8
ARNAVUTKOY,KARLIBAYIR MAH.,324,285,267,193,63,7
ARNAVUTKOY,KARLIBAYIR MAH.,321,277,265,182,72,6
ARNAVUTKOY,KARLIBAYIR MAH.,321,275,265,168,91,3
ARNAVUTKOY,KARLIBAYIR MAH.,323,273,259,177,71,8
ARNAVUTKOY,KARLIBAYIR MAH.,323,279,269,187,73,5
ARNAVUTKOY,KARLIBAYIR MAH.,323,276,264,186,71,6
ARNAVUTKOY,KARLIBAYIR MAH.,338,281,270,188,68,4
ARNAVUTKOY,KARLIBAYIR MAH.,338,288,277,203,68,3
ARNAVUTKOY,KARLIBAYIR MAH.,339,308,295,212,75,3
ARNAVUTKOY,KARLIBAYIR MAH.,339,293,282,205,69,5
ARNAVUTKOY,KARLIBAYIR MAH.,338,298,274,192,71,7
ARNAVUTKOY,KARLIBAYIR MAH.,339,296,276,202,61,10
ARNAVUTKOY,KARLIBAYIR MAH.,339,302,287,185,96,4
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,304,272,264,201,48,10
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,309,278,263,200,52,5
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,305,275,267,198,59,6
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,306,288,283,210,52,12
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,306,272,253,182,59,7
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,305,288,285,212,58,11
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,319,274,250,165,68,13
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,320,276,269,194,69,4
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,319,271,262,178,73,3
ARNAVUTKOY,MARESAL FEVZI CAKMAK MAH.,319,260,245,151,78,9
ARNAVUTKOY,MAVIGOL MAH.,335,269,251,163,79,4
ARNAVUTKOY,MAVIGOL MAH.,335,283,275,162,103,4
ARNAVUTKOY,MAVIGOL MAH.,335,287,270,166,96,4
