nbhd_id,district,neighborhood,registered,voted,valid,yes,nop,turnout,valid_p,yes_p,nop_p,yes_r,nop_r,yes_no
3735,UMRANIYE,YAMANEVLER MAH.,9336,8276,8173,4883,3290,88.65,98.76,59.75,40.25,52.30,35.24,1.48
3737,UMRANIYE,YUKARI DUDULLU MAH.,13655,12050,11876,8171,3705,88.25,98.56,68.80,31.20,59.84,27.13,2.21
3801,USKUDAR,ACIBADEM MAH.,19368,17807,17587,4111,13476,91.94,98.76,23.38,76.62,21.23,69.58,0.31
3802,USKUDAR,AHMEDIYE MAH.,7824,6807,6704,2356,4348,87.00,98.49,35.14,64.86,30.11,55.57,0.54
3803,USKUDAR,ALTUNIZADE MAH.,10547,9693,9567,2685,6882,91.90,98.70,28.07,71.93,25.46,65.25,0.39
3804,USKUDAR,AZIZ MAHMUT HUDAYI MAH.,7430,6528,6432,2302,4130,87.86,98.53,35.79,64.21,30.98,55.59,0.56
3805,USKUDAR,BAHCELIEVLER MAH.,15847,14397,14208,5995,8213,90.85,98.69,42.19,57.81,37.83,51.83,0.73
3806,USKUDAR,BARBAROS  MAH.,14564,13371,13218,3133,10085,91.81,98.86,23.70,76.30,21.51,69.25,0.31
3807,USKUDAR,BEYLERBEYI MAH.,4503,3979,3925,1646,2279,88.36,98.64,41.94,58.06,36.55,50.61,0.72
3808,USKUDAR,BULGURLU  MAH.,23026,20976,20671,10441,10230,91.10,98.55,50.51,49.49,45.34,44.43,1.02
3809,USKUDAR,BURHANIYE MAH.,12446,11017,10884,6131,4753,88.52,98.79,56.33,43.67,49.26,38.19,1.29
3810,USKUDAR,CENGELKOY MAH.,10794,9681,9569,5421,4148,89.69,98.84,56.65,43.35,50.22,38.43,1.31
3811,USKUDAR,CUMHURIYET MAH.,26935,24500,24176,12325,11851,90.96,98.68,50.98,49.02,45.76,44.00,1.04
3812,USKUDAR,FERAH  MAH.,14823,13445,13204,8243,4961,90.70,98.21,62.43,37.57,55.61,33.47,1.66
3813,USKUDAR,GUZELTEPE  MAH.,9924,8917,8803,5447,3356,89.85,98.72,61.88,38.12,54.89,33.82,1.62
3814,USKUDAR,ICADIYE MAH.,14061,12540,12332,3973,8359,89.18,98.34,32.22,67.78,28.26,59.45,0.48
